BSM_Operator,Architecture,AUC,Accuracy,Precision,Recall,F1,Training_Time_s,Inference_Time_s,Events_per_Second,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper
cbbim,DNN,0.595753579704263,0.5692142418661755,0.5775180474389825,0.5156537753222836,0.5448354143019296,5.808772802352905,0.02106022834777832,309398.3546805837,0.5954637856407959,0.0068350330259920895,0.5827524324580822,0.6086045884295739,0.5691787906691221,0.0061369081822444565,0.5577041129527317,0.5807282074892571,0.5773898986066553,0.009413698590875456,0.5595806345635966,0.5962495173968774,0.515472275655737,0.008840638294885662,0.49830581339981983,0.5329268120272123,0.5446360341745254,0.007805411203208734,0.5299575088839849,0.5605699001204248
cbgim,DNN,0.8987702807827684,0.8439738080622059,0.880661231884058,0.7957847350112544,0.836074384607116,10.885369777679443,0.0035958290100097656,2718149.2703885427,0.8989323671166486,0.003326803985290159,0.8921438052335071,0.9053157132307205,0.8441040515653776,0.00369034577158492,0.837011458972785,0.8515449150808266,0.8809684985601456,0.005036933048768763,0.8710761306204623,0.89102328020144,0.7959353094603832,0.0056318358424817605,0.7847710350990817,0.8068767264437505,0.8362818827223508,0.004181865065336701,0.8278946159880788,0.8445018510223319
cbhim,DNN,0.8159557838540414,0.7655003069367711,0.7831114990181104,0.7343973808062206,0.7579725448785639,13.738194942474363,0.014101743698120117,693105.7753732227,0.8160403339970781,0.004200707384830652,0.8081611869303591,0.8240768801792989,0.7655389809699202,0.004254855584673817,0.7576197053406998,0.7736878453038674,0.783211038809555,0.006129821454837816,0.7709835567067571,0.795012491270046,0.7347336461026309,0.006060132610364921,0.7239019211185768,0.7468199907643951,0.7581792426835772,0.004775424577132007,0.7493538748232444,0.7672828507611058
chbtil,DNN,0.9231258318497323,0.8637200736648251,0.8108060849798916,0.9488438714958052,0.8744107109183481,9.799568176269531,0.027343273162841797,357455.37638421427,0.9228972749846711,0.002754727210919408,0.9174887006554767,0.9278592896454417,0.8635139144669531,0.00344256157848651,0.8568625946388377,0.8698613668917536,0.8106739837884447,0.005080908874020307,0.800852409826034,0.8202516475039473,0.948767382872161,0.003305861832030013,0.9425141427113909,0.9548578148108932,0.8742911602603947,0.00339298075326752,0.8677611659478573,0.8807036569813325
chgtil,DNN,0.857068625501507,0.8061182729691017,0.8458159963014332,0.7487210967873952,0.7943123846738305,12.304723978042604,0.0015950202941894531,6127821.71838565,0.8570518367316925,0.004142716916239513,0.8487810407714291,0.8652504460336135,0.8060312052383876,0.004111902495947825,0.7983425414364641,0.8138940045017393,0.8456121552940024,0.005423964070894667,0.8348529663210875,0.8560023629066397,0.7490477396732586,0.006427030528158986,0.7355933805637163,0.7611747365952362,0.7943889660702969,0.004809622483007031,0.7851237525422079,0.8035482965643991
ctbim,DNN,0.5596249223509808,0.5504330818664431,0.5500138542532558,0.5546241967029897,0.5523094045631608,4.605585813522339,0.0020751953125,3449313.882352941,0.5599501238644621,0.006917355606388125,0.54704085837275,0.5736618384176772,0.5507362391729533,0.005914471894906585,0.5391170718077676,0.5624615814473317,0.5505547096542138,0.008261657261252246,0.5329602248017931,0.566890140292785,0.5551386459700257,0.008205859583797473,0.5391369310965884,0.5716327373578078,0.5528031475717264,0.006999814719916683,0.5384280207882862,0.5667732164941796
cbbim,GCN,0.5620070708407667,0.5408225905463474,0.5656414103525882,0.4512268102932376,0.5019973368841545,41.42823505401611,0.228773832321167,28482.278475155465,0.5619713221227219,0.006892893903184919,0.5487194848806837,0.5753302584731737,0.5408733885819521,0.005942218674745942,0.5293086249232658,0.5523403928790669,0.565461123400084,0.00989440084452324,0.5457572287598175,0.584966399158518,0.45118661722353526,0.00835911484670426,0.4362891508240346,0.4690619110287905,0.5018592087405399,0.007815541113794048,0.4870580851587497,0.5175331931147858
cbbim,GAT,0.5768829021858857,0.5357581338244322,0.605878423513694,0.2713943746259725,0.37487084108286833,47.69633197784424,0.4166238307952881,15640.00788807901,0.5767773106718476,0.00687291873915932,0.5641873201774191,0.5903879343589057,0.5357527624309394,0.006128463196102895,0.5240945365254758,0.5480432780847145,0.6055987027454972,0.012660960410421453,0.5804091448632468,0.6304792016374705,0.27090002483964465,0.007550454682273176,0.256341013053561,0.2850269020939863,0.37429789789366125,0.008735747197794373,0.3570891871940801,0.3907542743547368
cbgim,GCN,0.5684162374560975,0.54344453064391,0.6085879438480595,0.2816201757737868,0.3850574712643678,30.864887714385983,0.18218326568603516,28301.17234195139,0.5682018980511317,0.007844679527877294,0.5529877816036693,0.5837411101128628,0.5431633048875096,0.00705042027432195,0.5292765709852599,0.5564391000775796,0.6084406147823278,0.013756489882568685,0.5812479707792209,0.6360064771558375,0.28132752514821424,0.008708849077102523,0.26423636236466846,0.2987575067301719,0.3846940133825949,0.00987877765975678,0.36504334494773516,0.40414070772886657
cbgim,GAT,0.5542854360775872,0.5382079131109387,0.642512077294686,0.20328620557890714,0.30885341074020317,52.619136095047,0.24172592163085938,21329.94246216485,0.5540332103027303,0.006928364081701771,0.5402491119478746,0.5679715719796705,0.5379567494181535,0.007101561685291449,0.5240496508921645,0.5517843289371606,0.6423506943290224,0.01631336167195885,0.6111111111111112,0.6753086419753086,0.20311145650121523,0.007933032616328738,0.1881463281838426,0.2183383397207932,0.3085709413535415,0.010289350667676044,0.2886475469946958,0.3287142275871423
cbhim,GCN,0.5175294973673072,0.5208102547871498,0.5243957027752909,0.7218114602587801,0.6074669432201193,42.34728384017944,0.1802670955657959,35053.54085928356,0.5176522231185142,0.0062429926274343754,0.505433346751977,0.5296952840134601,0.5208303529039405,0.006530080395608006,0.5079878145276152,0.5337869916125969,0.524249891040093,0.0076937965363411106,0.5088781612268656,0.5392940897618093,0.7220739514085813,0.008035840268199913,0.7055386267155493,0.7367339932189658,0.6074295304765667,0.006748895608172622,0.593980230396147,0.6202000542460153
cbhim,GAT,0.5,0.4863111251780345,0.0,0.0,0.0,36.67060303688049,0.23474502563476562,26918.568275996557,0.5,0.0,0.5,0.5,0.4865309384396265,0.006463051978632589,0.4737972780503244,0.4997626206678272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chbtil,GCN,0.7031804401059453,0.6406926406926406,0.5955165692007798,0.8804034582132565,0.7104651162790697,15.77134394645691,0.043653011322021484,31750.386926933705,0.702209564974392,0.014031196127291687,0.6733473594196195,0.7290776079645933,0.6398513708513709,0.012529882490566002,0.6161616161616161,0.6637806637806638,0.5947241980329515,0.015182969168503271,0.5646007914775498,0.6230350660129266,0.8798588631513005,0.012709829842690363,0.856109924740323,0.9037398389769079,0.7095995759282708,0.012267623774616645,0.6846079109339357,0.732234538356207
chbtil,GAT,0.6553947127317553,0.6060606060606061,0.6516393442622951,0.45821325648414984,0.5380710659898477,12.96199083328247,0.061776161193847656,22435.838893434397,0.6553139904580253,0.014767710823072612,0.6257854445993969,0.6829043806799693,0.6058261183261183,0.013233616972511898,0.5808080808080808,0.6313492063492063,0.6511091113277859,0.02170941041223945,0.6065573770491803,0.6941437126009855,0.4574352460759245,0.0188880203101102,0.41943737524950103,0.49253975814604556,0.537132802637022,0.01741716354250252,0.5025360330976008,0.5707396462251421
chgtil,GCN,0.4995,0.48629359286293594,0.0,0.0,0.0,33.12690019607544,0.1598060131072998,38578.02269217859,0.4994967591115555,0.00029216035656298196,0.49882852984518716,0.5,0.48628532035685323,0.006553609063462582,0.4723398215733982,0.49927412814274125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chgtil,GAT,0.5,0.48661800486618007,0.0,0.0,0.0,31.72002673149109,0.22586417198181152,27295.165700279624,0.5,0.0,0.5,0.5,0.4866087591240876,0.006541170456119671,0.4725020275750203,0.4997566909975669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctbim,GCN,0.5,0.5043308186644314,0.0,0.0,0.0,37.19419503211975,0.17780780792236328,40256.94981361795,0.5,0.0,0.5,0.5,0.5044083542889075,0.005964010204191009,0.4930148086057558,0.5163453478625314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctbim,GAT,0.5050203071762952,0.5043308186644314,0.0,0.0,0.0,63.19341588020325,0.252957820892334,28297.20771134666,0.5050466988950065,0.0031878383508764747,0.4988046106902654,0.5113885981344843,0.5044083542889075,0.005964010204191009,0.4930148086057558,0.5163453478625314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
