BSM_Operator,Architecture,Accuracy,Precision,Recall,F1,AUC,Training_Time_s,Inference_Time_s,Events_per_Second
cbbim,GCN,0.5408225905463474,0.5656414103525882,0.4512268102932376,0.5019973368841545,0.5620070708407667,41.42823505401611,0.16282892227172852,40017.46071331305
cbbim,GAT,0.5357581338244322,0.605878423513694,0.2713943746259725,0.37487084108286833,0.5768829021858857,47.69633197784424,0.2369530200958252,27499.121966729486
cbgim,GCN,0.5576027928626842,0.6274038461538461,0.30126971912273953,0.4070704445022095,0.5863169297538251,30.864887714385986,0.13087177276611328,39397.34207784069
cbgim,GAT,0.5461598138091543,0.6521739130434783,0.21354367064255483,0.3217391304347826,0.570815720916697,52.619136095047,0.18569183349609375,27766.43378939151
cbhim,GCN,0.5149548979268872,0.5149039523073526,0.72875,0.6034415836460085,0.514791399487015,42.34728384017944,0.16110801696777344,39222.132572483926
cbhim,GAT,0.49359075803133406,0.0,0.0,0.0,0.5,36.67060303688049,0.22947311401367188,27536.995029507107
chbtil,GCN,0.5959595959595959,0.555767397521449,0.8611521418020679,0.6755504055619931,0.6544678776565492,15.77134394645691,0.041921138763427734,33062.07896263436
chbtil,GAT,0.5995670995670995,0.6224899598393574,0.45790251107828656,0.5276595744680851,0.6418572770852908,12.96199083328247,0.05007004737854004,27681.220061997345
chgtil,GCN,0.4957015409570154,0.0,0.0,0.0,0.499672988881622,33.12690019607544,0.1582801342010498,38949.92906797213
chgtil,GAT,0.49602595296025953,0.0,0.0,0.0,0.5,31.72002673149109,0.2479538917541504,24863.493597078446
ctbim,GCN,0.4956691813355686,0.0,0.0,0.0,0.5,37.19419503211975,0.18117499351501465,39508.7636606251
ctbim,GAT,0.4956691813355686,0.0,0.0,0.0,0.5032912303603607,63.19341588020325,0.27092885971069336,26420.219712449772
